No of DDE-Post,No of DDEs,Session-ID,Student-ID,Total Time(mins)
4,21,"""E18C9-Apr03-22-21-15"")","""E18C9""",4.95
7,38,"""E243F-Apr03-22-12-15"")","""E243F""",15.266666666666667
3,35,"""E267F-Apr03-22-19-44"")","""E267F""",9.8
3,23,"""E1A13-Apr03-22-02-12"")","""E1A13""",27.75
3,13,"""E267F-Apr03-22-29-47"")","""E267F""",1.6333333333333333
9,29,"""E1A4F-Apr03-22-19-28"")","""E1A4F""",12.85
3,3,"""E1A4F-Apr03-22-32-51"")","""E1A4F""",2.4333333333333336
6,38,"""E18C9-Apr03-22-26-24"")","""E18C9""",10.4
3,8,"""E1A4F-Apr03-22-35-25"")","""E1A4F""",2.5166666666666666
3,8,"""E1A4F-Apr03-22-39-48"")","""E1A4F""",0.45
3,7,"""E1A4F-Apr03-22-40-57"")","""E1A4F""",0.8
4,50,"""E243F-Apr03-22-27-58"")","""E243F""",14.666666666666666
3,7,"""E1A4F-Apr03-22-41-57"")","""E1A4F""",0.7833333333333333
3,7,"""E1A4F-Apr03-22-42-55"")","""E1A4F""",0.3333333333333333
3,8,"""E1A4F-Apr03-22-43-25"")","""E1A4F""",0.38333333333333336
3,7,"""E1A4F-Apr03-22-44-27"")","""E1A4F""",0.65
4,20,"""E18C9-Apr03-22-38-17"")","""E18C9""",7.583333333333333
3,6,"""E1A4F-Apr03-22-45-17"")","""E1A4F""",0.9666666666666667
3,6,"""E1A4F-Apr03-22-46-28"")","""E1A4F""",1.75
3,6,"""E1A4F-Apr03-22-48-57"")","""E1A4F""",0.1
3,6,"""E1A4F-Apr03-22-49-11"")","""E1A4F""",0.5833333333333334
3,6,"""E1A4F-Apr03-22-49-55"")","""E1A4F""",0.3333333333333333
3,9,"""E1A4F-Apr03-22-50-46"")","""E1A4F""",1.4166666666666667
3,20,"""E18C9-Apr03-22-46-57"")","""E18C9""",6.75
3,10,"""E21F9-Apr03-22-20-50"")","""E21F9""",42.35
3,7,"""E1A4F-Apr03-23-03-38"")","""E1A4F""",0.11666666666666667
3,9,"""E1A4F-Apr03-23-03-55"")","""E1A4F""",2.0
3,7,"""E21F9-Apr03-23-07-26"")","""E21F9""",1.2166666666666668
3,6,"""E1A4F-Apr03-23-07-55"")","""E1A4F""",1.35
3,8,"""E21F9-Apr03-23-08-52"")","""E21F9""",2.2
3,8,"""E21F9-Apr03-23-11-40"")","""E21F9""",0.7
3,7,"""E1A4F-Apr03-23-12-17"")","""E1A4F""",0.4166666666666667
3,7,"""E21F9-Apr03-23-12-45"")","""E21F9""",0.36666666666666664
3,50,"""E1A4F-Apr03-23-13-14"")","""E1A4F""",0.15
3,9,"""E21F9-Apr03-23-14-01"")","""E21F9""",2.0
3,8,"""E21F9-Apr03-23-16-17"")","""E21F9""",1.9166666666666665
3,7,"""E21F9-Apr03-23-18-40"")","""E21F9""",1.6666666666666665
5,40,"""E18C9-Apr03-22-55-21"")","""E18C9""",27.4
3,6,"""E21F9-Apr03-23-20-49"")","""E21F9""",5.616666666666667
2,1,"""E1C4D-Apr03-23-28-59"")","""E1C4D""",0.7833333333333333
6,37,"""E1C4D-Apr03-23-29-57"")","""E1C4D""",8.75
5,25,"""E1C4D-Apr03-23-38-54"")","""E1C4D""",4.083333333333333
6,30,"""E25E9-Apr03-22-24-27"")","""E25E9""",85.41666666666667
3,25,"""E2691-Apr04-00-21-29"")","""E2691""",7.0
5,27,"""E2691-Apr04-00-28-50"")","""E2691""",4.6
3,23,"""E2691-Apr04-00-33-47"")","""E2691""",2.7666666666666666
3,15,"""E2691-Apr04-00-36-52"")","""E2691""",2.3166666666666664
6,29,"""E2691-Apr04-00-40-32"")","""E2691""",8.366666666666667
3,20,"""E1617-Apr04-00-24-39"")","""E1617""",31.533333333333335
14,77,"""E2691-Apr04-00-49-25"")","""E2691""",25.75
3,25,"""E25E9-Apr04-02-39-26"")","""E25E9""",3.033333333333333
3,16,"""E25E9-Apr04-02-42-44"")","""E25E9""",0.7833333333333333
3,9,"""E25E9-Apr04-02-43-53"")","""E25E9""",0.55
3,12,"""E25E9-Apr04-02-44-41"")","""E25E9""",0.6166666666666667
3,9,"""E25E9-Apr04-02-45-29"")","""E25E9""",0.7
3,22,"""E25E9-Apr04-02-56-29"")","""E25E9""",5.416666666666667
3,3,"""E1A13-Apr04-05-26-10"")","""E1A13""",90.13333333333334
3,17,"""E1617-Apr04-07-16-39"")","""E1617""",0.95
3,21,"""E1617-Apr04-07-18-25"")","""E1617""",5.116666666666666
3,32,"""E1617-Apr04-07-24-34"")","""E1617""",1.0833333333333333
3,24,"""E1617-Apr04-07-27-20"")","""E1617""",1.4833333333333334
3,20,"""E1A13-Apr04-09-04-37"")","""E1A13""",4.4
4,12,"""E141F-Apr04-09-08-21"")","""E141F""",3.783333333333333
3,30,"""E141F-Apr04-09-12-17"")","""E141F""",1.3166666666666667
5,27,"""E1A13-Apr04-09-09-33"")","""E1A13""",6.2
3,21,"""E141F-Apr04-09-13-45"")","""E141F""",3.5666666666666664
3,28,"""E141F-Apr04-09-17-35"")","""E141F""",0.43333333333333335
5,36,"""E1A13-Apr04-09-16-02"")","""E1A13""",11.35
3,7,"""E1A13-Apr04-09-29-54"")","""E1A13""",2.5833333333333335
7,25,"""E141F-Apr04-09-19-56"")","""E141F""",23.766666666666666
3,25,"""E141F-Apr04-09-43-55"")","""E141F""",1.0833333333333333
6,39,"""E18C9-Feb13-15-33-06"")","""E18C9""",17.383333333333333
10,68,"""E1C4D-Feb13-15-51-20"")","""E1C4D""",8.3
